tract_id,ward,partial,blocks,housing,housing_percent,pop,pop_percent
17031071200,43,0,29,1091,1,1906,1
17031071300,43,0,31,2045,1,3513,1
17031071400,43,0,27,3279,1,4570,1
17031071500,2,1,12,1167,0.271,1452,0.252
17031071500,27,1,3,127,0.029,229,0.04
17031071500,43,1,50,3015,0.7,4087,0.709
17031071600,43,0,17,834,1,1783,1
17031071700,2,1,4,103,0.132,226,0.137
17031071700,43,1,15,680,0.868,1426,0.863
17031071800,2,1,7,503,0.404,1058,0.4
17031071800,43,1,10,741,0.596,1588,0.6
17031080100,43,0,46,4652,1,6013,1
17031080201,2,0,17,2694,1,3287,1
17031080202,2,0,13,2764,1,3498,1
17031080300,2,1,9,1418,0.497,1905,0.441
17031080300,27,1,24,1436,0.503,2410,0.559
17031080400,2,1,18,777,0.372,1509,0.35
17031080400,27,1,11,1312,0.628,2808,0.65
17031081000,2,1,29,3694,0.701,5819,0.771
17031081000,27,1,7,1574,0.299,1727,0.229
17031081100,2,0,13,3053,1,3640,1
17031081201,2,1,2,634,0.181,1217,0.3
17031081201,42,1,22,2862,0.819,2842,0.7
17031081202,2,1,8,1636,0.716,2175,0.726
17031081202,42,1,5,649,0.284,820,0.274
17031081202,43,1,6,0,0,0,0
17031081300,2,0,25,4229,1,4884,1
17031081401,2,1,5,575,0.311,622,0.273
17031081401,42,1,21,1272,0.689,1657,0.727
17031081402,42,0,20,3504,1,4243,1
17031081403,42,0,54,5284,1,6229,1
17031081500,42,0,37,4015,1,4379,1
17031081600,2,1,3,720,0.231,752,0.212
17031081600,42,1,13,2395,0.769,2793,0.788
17031081700,2,1,11,862,0.363,1092,0.352
17031081700,42,1,56,1515,0.637,2010,0.648
17031081800,2,1,1,260,0.048,364,0.053
17031081800,27,1,16,32,0.006,55,0.008
17031081800,42,1,89,5077,0.946,6447,0.939
17031081900,27,1,10,651,0.708,668,0.634
17031081900,42,1,2,269,0.292,385,0.366
17031090100,41,0,114,1444,1,3405,1
17031090200,41,1,148,2968,0.983,6477,0.987
17031090300,41,1,40,552,0.958,1305,0.951
17031100100,39,1,80,1117,0.466,2514,0.473
17031100100,45,1,79,1279,0.534,2799,0.527
17031100200,41,0,156,2965,1,6749,1
17031100300,41,0,136,2825,1,6177,1
17031100400,41,0,48,1258,1,3066,1
17031100500,41,0,159,2331,1,5779,1
17031100600,41,1,136,1255,0.635,3087,0.639
17031100600,45,1,52,721,0.365,1745,0.361
17031100700,41,1,61,1259,0.646,3060,0.634
17031100700,45,1,39,689,0.354,1766,0.366
17031110100,39,1,45,899,0.403,2217,0.422
17031110100,45,1,78,1334,0.597,3037,0.578
17031110200,45,0,52,1241,1,2828,1
17031110300,45,0,144,2053,1,5161,1
17031110400,45,0,99,1989,1,4352,1
17031110501,45,0,97,1881,1,4639,1
17031110502,45,0,62,1608,1,3214,1
17031120100,39,1,14,53,0.034,130,0.031
17031120100,41,1,90,1521,0.966,4068,0.969
17031120200,39,1,66,953,0.531,2373,0.536
17031120200,41,1,61,843,0.469,2057,0.464
17031120300,39,0,169,2467,1,6365,1
17031120400,39,1,48,594,0.442,1530,0.435
17031120400,45,1,34,751,0.558,1985,0.565
17031130100,39,1,36,1265,0.611,2719,0.53
17031130100,50,1,72,807,0.389,2414,0.47
17031130200,39,0,42,671,1,1412,1
17031130300,39,0,77,1928,1,5064,1
17031140100,33,0,24,1269,1,3729,1
17031140200,33,1,42,1852,0.971,5314,0.891
17031140200,39,1,6,55,0.029,651,0.109
17031140301,35,1,18,600,0.656,2017,0.698
17031140301,39,1,6,314,0.344,874,0.302
17031140302,33,1,4,204,0.143,627,0.144
17031140302,39,1,40,1224,0.857,3718,0.856
17031140400,39,0,123,2342,1,6805,1
17031140500,39,0,64,1337,1,3679,1
17031140601,35,0,30,916,1,2786,1
17031140602,35,0,41,1797,1,5397,1
17031140701,33,0,27,1131,1,2933,1
17031140702,33,1,39,1602,0.755,4732,0.765
17031140702,35,1,12,520,0.245,1455,0.235
17031140800,33,0,100,2819,1,6825,1
